how are you,; feeling
hello,; greeting
see you later,; leaving
talk to you later,; leaving
how's the weather,; weather
whats the temperature,; weather
hi,; greeting
what time is it,; time
could you tell me what time it is,; time
thank you,; grace
thanks,; grace
open opera,; app
open youtube music,; browser
open spotify,; browser
suggest me a movie,; suggestion
suggest me a song,; suggestion
what is,; search
sing for me,; fun
why,; search
when,; search
are you woman,; fun
who,; search
open whatsapp,; app
emails,; browser
take care of yourself,; leaving
what are the news,; browser
what are you doing,; feeling
how do you feel,; feeling
goodbye,; leaving
show me my emails,; browser
you re so sweet,; fun
can you tell me,; search
make me a joke,; fun
can you tell me joke,; fun
where,; search
sing for me,; fun
who am ý,; fun
can you tell me,; search
what have you been up to,; greeting
how are things,; greeting
you are the best,; grace
I am so thankful,; grace
what is the time,; time
thank you so much,; grace
what’s the time by your watch,; time
thank you very much,; grace
my thanks and appreciation,; grace
my name is,; meet
I am,; meet
what's up,; feeling
open youtube,; app
open camera,; app
what's poppin,; feeling
what does the weather look like,; weather
you can call me,; meet
what is the weather like today,; weather
suggest me a music,; suggestion
Can you recommend me a music,; suggestion
Hi there,; greeting
call me x,; meet
what's going on,; feeling
Greetings,; greeting
how was you day,; feeling
give me a suggestion about movies please,; suggestion
Hey Amiy,; greeting
open whatsapp but the app,; app
open youtube but the app,; app
open documentaries,; app
open settings,; app
